cutoff_date,ID,end_modified,end_true
219,QUE-2020-18-2020,1,1
219,RI-2020-38-2020,4,1
219,QUE-2018-05-2018,1,1
219,RI-2020-39-2020,4,1
219,QUE-2019-07-2019,1,1
219,QUE-2018-02-2018,4,1
219,VA-2018-01-2018,4,1
219,VT-2020-06-2020,4,1
219,PA-2018-04-2018,4,1
219,NY-2018-01-2018,1,1
219,NY-2019-12-2019,4,1
219,RI-2020-33-2020,1,1
219,RI-2021-50-2021,4,1
219,PA-2020-26-2020,1,1
219,QUE-2019-08-2019,4,1
219,RI-2021-47-2021,1,1
219,NY-2019-15-2019,1,1
233,PA-2019-15-2019,4,1
233,QUE-2020-18-2020,1,1
233,RI-2018-11-2018,4,1
233,RI-2020-38-2020,4,1
233,QUE-2018-05-2018,1,1
233,RI-2020-39-2020,4,1
233,ME-2020-17-2020,4,1
233,PA-2021-41-2021,4,1
233,PA-2021-42-2021,4,1
233,QUE-2019-07-2019,1,1
233,QUE-2018-02-2018,4,1
233,VA-2018-01-2018,4,1
233,ME-2020-16-2020,4,1
233,VT-2020-06-2020,4,1
233,PA-2020-25-2020,4,1
233,VA-2018-05-2018,4,1
233,VA-2020-69-2020,4,1
233,PA-2018-04-2018,4,1
233,ME-2020-18-2020,1,1
233,VT-2021-26-2021,4,1
233,NY-2018-01-2018,1,1
233,NY-2019-12-2019,4,1
233,VT-2021-21-2021,4,1
233,NS-2019-02-2019,1,1
233,RI-2020-33-2020,1,1
233,RI-2021-50-2021,4,1
233,PA-2020-26-2020,1,1
233,QUE-2019-08-2019,4,1
233,RI-2021-47-2021,1,1
233,NY-2019-15-2019,1,1
233,ME-2018-08-2018,1,1
250,PA-2019-15-2019,4,1
250,QUE-2020-18-2020,2,2
250,ME-2017-02-2017,4,1
250,VA-2019-34-2019,4,1
250,RI-2018-11-2018,4,1
250,RI-2020-38-2020,4,1
250,QUE-2018-05-2018,2,2
250,RI-2020-39-2020,4,1
250,ME-2020-17-2020,4,3
250,PA-2021-41-2021,1,1
250,PA-2021-41-2021,4,1
250,ME-2018-13-2018,4,1
250,PA-2021-42-2021,4,1
250,QUE-2019-07-2019,1,1
250,QUE-2018-02-2018,4,3
250,VA-2018-01-2018,4,1
250,ME-2020-16-2020,4,3
250,VT-2020-06-2020,4,1
250,PA-2020-25-2020,4,1
250,VA-2018-05-2018,4,1
250,VA-2020-69-2020,4,1
250,RI-2018-10-2018,1,1
250,VA-2019-35-2019,4,1
250,WV-2019-01-2019,1,1
250,ME-2018-12-2018,4,1
250,ME-2020-18-2020,3,3
250,VT-2021-26-2021,4,3
250,VT-2021-26-2021,4,3
250,NY-2018-01-2018,1,1
250,NY-2019-12-2019,4,1
250,VT-2021-21-2021,4,1
250,NS-2019-02-2019,1,1
250,VA-2020-63-2020,4,1
250,RI-2020-33-2020,1,1
250,RI-2021-50-2021,4,1
250,PA-2020-26-2020,1,1
250,QUE-2019-08-2019,4,3
250,RI-2021-47-2021,1,1
250,NY-2019-15-2019,1,1
250,ME-2018-08-2018,1,1
264,PA-2019-15-2019,4,2
264,QUE-2020-18-2020,4,4
264,ME-2017-02-2017,4,3
264,VA-2019-34-2019,4,1
264,RI-2018-11-2018,4,3
264,RI-2020-38-2020,4,1
264,QUE-2018-05-2018,3,3
264,RI-2020-44-2020,4,3
264,RI-2020-39-2020,4,1
264,ME-2020-17-2020,4,3
264,PA-2021-41-2021,4,4
264,PA-2021-41-2021,4,4
264,ME-2018-13-2018,4,2
264,PA-2021-42-2021,1,1
264,PA-2021-42-2021,4,1
264,QUE-2019-07-2019,3,3
264,QUE-2018-02-2018,4,3
264,ME-2020-16-2020,4,3
264,VT-2020-06-2020,4,1
264,PA-2020-25-2020,4,1
264,VA-2018-05-2018,4,1
264,VA-2020-69-2020,4,1
264,RI-2018-10-2018,1,1
264,VA-2019-35-2019,4,1
264,WV-2019-01-2019,3,3
264,ME-2018-12-2018,4,3
264,ME-2020-18-2020,3,3
264,VT-2021-26-2021,3,3
264,VT-2021-26-2021,4,3
264,NY-2018-01-2018,3,3
264,NY-2019-12-2019,4,3
264,NS-2019-02-2019,1,1
264,VA-2020-63-2020,4,1
264,RI-2020-33-2020,1,1
264,RI-2021-50-2021,4,1
264,PA-2020-26-2020,1,1
264,QUE-2019-08-2019,4,4
264,RI-2021-47-2021,1,1
264,NY-2019-15-2019,4,4
264,ME-2018-08-2018,3,3
280,PA-2019-15-2019,4,4
280,QUE-2020-18-2020,4,4
280,ME-2017-02-2017,4,3
280,VA-2019-34-2019,4,1
280,RI-2020-32-2020,4,4
280,VA-2019-39-2019,4,3
280,RI-2018-11-2018,4,3
280,RI-2020-38-2020,4,1
280,QUE-2018-05-2018,3,3
280,RI-2020-44-2020,4,3
280,RI-2020-39-2020,4,1
280,ME-2020-17-2020,4,4
280,PA-2021-41-2021,4,4
280,PA-2021-41-2021,4,4
280,ME-2018-13-2018,4,3
280,PA-2021-42-2021,3,3
280,PA-2021-42-2021,4,3
280,QUE-2019-07-2019,3,3
280,VA-2019-50-2019,4,3
280,QUE-2018-02-2018,4,4
280,RI-2020-35-2020,4,4
280,VA-2018-01-2018,4,4
280,ME-2020-16-2020,4,4
280,VT-2020-06-2020,4,4
280,PA-2020-25-2020,4,1
280,VA-2020-69-2020,4,4
280,PA-2018-04-2018,4,4
280,RI-2018-10-2018,4,4
280,VA-2019-35-2019,4,1
280,WV-2019-01-2019,4,4
280,RI-2020-34-2020,4,4
280,ME-2018-12-2018,4,4
280,ME-2020-18-2020,3,3
280,VT-2021-26-2021,4,4
280,VT-2021-26-2021,4,4
280,NY-2018-01-2018,4,4
280,NY-2019-12-2019,4,4
280,VT-2021-21-2021,4,4
280,NS-2019-02-2019,3,3
280,VA-2020-63-2020,4,4
280,RI-2020-33-2020,1,1
280,RI-2021-50-2021,4,1
280,PA-2020-26-2020,1,1
280,QUE-2019-08-2019,4,4
280,RI-2021-47-2021,1,1
280,NY-2019-15-2019,4,4
280,ME-2018-08-2018,3,4
294,PA-2019-15-2019,4,4
294,QUE-2020-18-2020,4,4
294,NJ-2018-04-2018,4,4
294,ME-2017-02-2017,4,3
294,VA-2019-34-2019,4,4
294,RI-2020-32-2020,4,4
294,VA-2019-39-2019,4,4
294,RI-2018-11-2018,4,3
294,QUE-2018-05-2018,4,4
294,RI-2020-44-2020,4,3
294,RI-2020-39-2020,4,4
294,ME-2020-17-2020,4,4
294,PA-2021-41-2021,4,4
294,PA-2021-41-2021,4,4
294,ME-2018-13-2018,4,3
294,NJ-2019-16-2019,4,3
294,PA-2021-42-2021,3,3
294,PA-2021-42-2021,4,3
294,QUE-2019-07-2019,3,4
294,VA-2019-50-2019,4,4
294,QUE-2018-02-2018,4,4
294,RI-2020-35-2020,4,4
294,VA-2018-01-2018,4,4
294,ME-2020-16-2020,4,4
294,VT-2020-06-2020,4,4
294,PA-2020-25-2020,4,4
294,VA-2020-69-2020,4,4
294,PA-2018-04-2018,4,4
294,RI-2018-10-2018,4,4
294,VA-2019-35-2019,4,3
294,WV-2019-01-2019,4,4
294,RI-2020-34-2020,4,4
294,ME-2018-12-2018,4,4
294,ME-2020-18-2020,3,4
294,VT-2021-26-2021,4,4
294,VT-2021-26-2021,4,4
294,NY-2018-01-2018,4,4
294,NY-2019-12-2019,4,4
294,VT-2021-21-2021,4,4
294,NS-2019-02-2019,3,3
294,VA-2020-63-2020,4,4
294,RI-2020-33-2020,1,1
294,RI-2021-50-2021,4,4
294,PA-2020-26-2020,3,3
294,QUE-2019-08-2019,4,4
294,RI-2021-47-2021,1,1
294,NY-2019-15-2019,4,4
294,ME-2018-08-2018,4,4
311,PA-2019-15-2019,4,4
311,QUE-2020-18-2020,4,4
311,NJ-2018-04-2018,4,4
311,ME-2017-02-2017,4,3
311,VA-2019-34-2019,4,4
311,RI-2020-32-2020,4,4
311,VA-2019-39-2019,4,4
311,RI-2018-11-2018,4,4
311,RI-2020-38-2020,4,4
311,QUE-2018-05-2018,4,4
311,RI-2020-44-2020,4,4
311,RI-2020-39-2020,4,4
311,ME-2020-17-2020,4,4
311,PA-2021-41-2021,4,4
311,ME-2018-13-2018,4,3
311,NJ-2019-16-2019,4,4
311,PA-2021-42-2021,4,4
311,QUE-2019-07-2019,4,4
311,VA-2019-50-2019,4,4
311,QUE-2018-02-2018,4,4
311,RI-2020-35-2020,4,4
311,VA-2018-01-2018,4,4
311,ME-2020-16-2020,4,4
311,VT-2020-06-2020,4,4
311,PA-2020-25-2020,4,4
311,VA-2018-05-2018,4,4
311,VA-2020-69-2020,4,4
311,PA-2018-04-2018,4,4
311,RI-2018-10-2018,4,4
311,VA-2019-35-2019,4,4
311,WV-2019-01-2019,4,4
311,RI-2021-59-2021,4,4
311,RI-2020-34-2020,4,4
311,ME-2018-12-2018,4,4
311,ME-2020-18-2020,4,4
311,VT-2021-26-2021,4,4
311,NY-2018-01-2018,4,4
311,NY-2019-12-2019,4,4
311,VT-2021-21-2021,4,4
311,NS-2019-02-2019,3,3
311,VA-2020-63-2020,4,4
311,RI-2020-33-2020,4,4
311,RI-2021-50-2021,4,4
311,PA-2020-26-2020,3,3
311,QUE-2019-08-2019,4,4
311,RI-2021-47-2021,4,1
311,NY-2019-15-2019,4,4
311,ME-2018-08-2018,4,4
325,PA-2019-15-2019,4,4
325,QUE-2020-18-2020,4,4
325,NJ-2018-04-2018,4,4
325,ME-2017-02-2017,4,4
325,VA-2019-34-2019,4,4
325,RI-2020-32-2020,4,4
325,VA-2019-39-2019,4,4
325,RI-2018-11-2018,4,4
325,RI-2020-38-2020,4,4
325,QUE-2018-05-2018,4,4
325,RI-2020-44-2020,4,4
325,RI-2020-39-2020,4,4
325,ME-2020-17-2020,4,4
325,PA-2021-41-2021,4,4
325,ME-2018-13-2018,4,4
325,NJ-2019-16-2019,4,4
325,PA-2021-42-2021,4,4
325,QUE-2019-07-2019,4,4
325,VA-2019-50-2019,4,4
325,QUE-2018-02-2018,4,4
325,RI-2020-35-2020,4,4
325,ME-2020-16-2020,4,4
325,VT-2020-06-2020,4,4
325,PA-2020-25-2020,4,4
325,VA-2018-05-2018,4,4
325,VA-2020-69-2020,4,4
325,PA-2018-04-2018,4,4
325,RI-2018-10-2018,4,4
325,VA-2019-35-2019,4,4
325,WV-2019-01-2019,4,4
325,RI-2021-59-2021,4,4
325,RI-2020-34-2020,4,4
325,ME-2018-12-2018,4,4
325,ME-2020-18-2020,4,4
325,VT-2021-26-2021,4,4
325,NY-2018-01-2018,4,4
325,NY-2019-12-2019,4,4
325,VT-2021-21-2021,4,4
325,VA-2020-63-2020,4,4
325,RI-2020-33-2020,4,4
325,RI-2021-50-2021,4,4
325,PA-2020-26-2020,3,3
325,QUE-2019-08-2019,4,4
325,RI-2021-47-2021,3,3
325,NY-2019-15-2019,4,4
325,ME-2018-08-2018,4,4
342,PA-2019-15-2019,4,4
342,NJ-2018-04-2018,4,4
342,VA-2019-34-2019,4,4
342,RI-2020-32-2020,4,4
342,VA-2019-39-2019,4,4
342,RI-2018-11-2018,4,4
342,RI-2020-38-2020,4,4
342,RI-2020-39-2020,4,4
342,ME-2020-17-2020,4,4
342,PA-2021-41-2021,4,4
342,ME-2018-13-2018,4,4
342,PA-2021-42-2021,4,4
342,VA-2019-50-2019,4,4
342,QUE-2018-02-2018,4,4
342,RI-2020-35-2020,4,4
342,ME-2020-16-2020,4,4
342,VT-2020-06-2020,4,4
342,PA-2020-25-2020,4,4
342,VA-2018-05-2018,4,4
342,VA-2020-69-2020,4,4
342,PA-2018-04-2018,4,4
342,RI-2018-10-2018,4,4
342,VA-2019-35-2019,4,4
342,RI-2020-34-2020,4,4
342,ME-2018-12-2018,4,4
342,VT-2021-26-2021,4,4
342,NY-2019-12-2019,4,4
342,NS-2019-02-2019,3,4
342,VA-2020-63-2020,4,4
342,RI-2020-33-2020,4,4
342,RI-2021-50-2021,4,4
342,QUE-2019-08-2019,4,4
342,RI-2021-47-2021,3,3
356,NJ-2018-04-2018,4,4
356,VA-2019-34-2019,4,4
356,RI-2018-11-2018,4,4
356,RI-2020-38-2020,4,4
356,RI-2020-39-2020,4,4
356,PA-2021-42-2021,4,4
356,VA-2019-50-2019,4,4
356,QUE-2018-02-2018,4,4
356,RI-2020-35-2020,4,4
356,ME-2020-16-2020,4,4
356,VT-2020-06-2020,4,4
356,VA-2018-05-2018,4,4
356,VA-2019-35-2019,4,4
356,RI-2020-34-2020,4,4
356,ME-2018-12-2018,4,4
356,VT-2021-26-2021,4,4
356,NS-2019-02-2019,4,4
356,VA-2020-63-2020,4,4
356,RI-2020-33-2020,4,4
356,RI-2021-50-2021,4,4
356,QUE-2019-08-2019,4,4
356,RI-2021-47-2021,3,3
219,VT-2020-05-2020,4,1
233,VT-2020-05-2020,4,1
233,ME-2018-07-2018,1,1
250,VT-2020-05-2020,4,1
250,ME-2018-07-2018,1,1
